POSITION,DEPARTMENT,MONTH_TOTAL,VACATION_13TH_SALARY,EVENTUAL PAYMENTS,PAYED_PREMIUM_LEAVE,OTHER_INDEMNITIES,WAGE_REDUCER,NET_TOTAL,STATUS,MONTH,YEAR
ASSESSOR TECNICO III,SECRETARIA JUSTICA E CIDADANIA,4961.38,0.0,0.0,"0,00",17.6,0.0,2632.85,ATIVOS,MAY,2023
SD 1C PM,POLICIA MILITAR SAO PAULO,4842.27,0.0,0.0,"0,00",445.38,0.0,3461.12,ATIVOS,JUNE,2023
OPERADOR FERROVIARIO,SEC.TRANSPORTES METROPOLITANOS,2593.03,0.0,0.0,"0,00",0.0,0.0,1950.15,ATIVOS,MARCH,2023
DIRETOR TECNICO II,SECR.DESENVOLVIMENTO ECONOMICO,13073.73,6536.86,0.0,"0,00",0.0,0.0,10147.95,ATIVOS,JULY,2023
ANALISTA NEGOCIOS E TECNOLOGIA,CIA.PROC.DADOS EST.S.P-PRODESP,9851.23,0.0,0.0,"0,00",880.17,0.0,4351.74,ATIVOS,JANUARY,2023
ESPEC.ATIV.DIAG.REAB.SAUDE PUB,FUNDACAO ONCOCENTRO SAO PAULO,8771.74,0.0,0.0,"0,00",0.0,0.0,6536.29,ATIVOS,FEBRUARY,2023
ADVOGADO,DESENVOLVE SP AG.FOM.E.S.PAULO,19415.42,0.0,1813.81,"0,00",0.0,0.0,16209.76,ATIVOS,FEBRUARY,2023
ANALISTA NEGOCIOS E TECNOLOGIA,CIA.PROC.DADOS EST.S.P-PRODESP,40036.72,20067.86,0.0,"0,00",858.98,0.0,22942.16,ATIVOS,JANUARY,2023
PROCURADOR DO ESTADO NIVEL III,PROCURADORIA GERAL DO ESTADO,50900.37,0.0,0.0,"0,00",0.0,-9249.45,26680.81,ATIVOS,AUGUST,2023
SECRETARIA SR,FUND.SIST.EST.ANAL.DADOS SEADE,6954.08,0.0,769.36,"0,00",0.0,0.0,5207.49,ATIVOS,APRIL,2023
AUXILIAR SERV.GERAIS,SECR.AGRICULTURA ABASTECIMENTO,3546.74,0.0,0.0,"0,00",211.79,0.0,1609.25,ATIVOS,JANUARY,2023
AUXILIAR SERVICO DE PESSOAL,FACULDADE MED. MARILIA FAMEMA,2694.89,0.0,0.0,"0,00",0.0,0.0,2468.45,ATIVOS,JULY,2023
ASSESSOR III,FUND.SIST.EST.ANAL.DADOS SEADE,9135.08,0.0,1027.76,"0,00",0.0,0.0,7187.35,ATIVOS,MAY,2023
DOCENTE,FAC.MEDICINA MARILIA-FAMEMA,3802.0,13705.19,0.0,"0,00",0.0,0.0,2303.33,ATIVOS,JANUARY,2023
EXECUTIVO PUBLICO,SECRETARIA DESENVOLV. SOCIAL,5399.5,0.0,0.0,"0,00",45.63,0.0,2760.76,ATIVOS,AUGUST,2023
DIRETOR EXECUTIVO I,JUNTA COMERC.E.S.PAULO-JUCESP,12974.34,0.0,0.0,"0,00",0.0,0.0,9380.3,ATIVOS,FEBRUARY,2023
AGENTE DE SAUDE,H.C.FAC.MED.BOTUCATU-HCFMB,2397.95,0.0,0.0,"0,00",0.0,0.0,1551.58,ATIVOS,JANUARY,2023
OUTROS VINCULOS,CASA CIVIL,865.26,-77.5,-82.18,"1297,89",0.0,0.0,1912.62,ATIVOS,MAY,2023
PRATICANTE DE OPERADOR DE USIN,EMAE EMP.MET.AGUAS ENERGIA S/A,5321.74,0.0,0.0,"0,00",0.0,0.0,2292.58,ATIVOS,JUNE,2023
PROCURADOR CHEFE ADJUNTO,FUND.AMPARO PESQ.EST.SP-FAPESP,46278.87,37405.53,0.0,"0,00",0.0,-22828.87,17166.46,ATIVOS,JANUARY,2023
AGENTE DE DESENV. SOCIAL,SECRETARIA DESENVOLV. SOCIAL,2615.98,0.0,0.0,"0,00",0.0,0.0,1819.24,ATIVOS,JANUARY,2023
DIRETOR I,SECR.CULTURA ECONOMIA CRIATIVA,6887.11,0.0,0.0,"0,00",826.15,0.0,5183.94,ATIVOS,JUNE,2023
ANALISTA SOCIOCULTURAL,SECRETARIA DE ESPORTES,5972.25,995.37,0.0,"0,00",0.0,0.0,3839.91,ATIVOS,FEBRUARY,2023
COORDENADOR,DERSA DESENVOLVIM.RODOV.S.A.,6854.26,0.0,0.0,"0,00",0.0,0.0,4732.8,ATIVOS,MAY,2023
ANAL.PLAN.ORC.FINANC.PUBL. I,SECRET. FAZENDA PLANEJAMENTO,7314.81,3657.4,0.0,"0,00",0.0,0.0,8417.34,ATIVOS,JUNE,2023
DIRETOR TECNICO II,SECRET.GOVERNO RELAC.INSTITUC.,5758.71,0.0,0.0,"0,00",0.0,0.0,4428.96,ATIVOS,JUNE,2023
ANALISTA ADMINISTRATIVO,FUND. AMP. PESQ. EST.SP FAPESP,11498.65,0.0,0.0,"0,00",0.0,0.0,8533.14,ATIVOS,MARCH,2023
AGENTE TECNICO E ADMINISTRAT,"CTRO.EST.ED.TEC.""P.SO"" CEETEPS",3014.18,0.0,0.0,"0,00",0.0,0.0,2395.68,ATIVOS,APRIL,2023
DIRETOR TECNICO I,SEC.MEIO AMB. INFRA.LOGIST.,5756.23,0.0,0.0,"0,00",0.0,0.0,3045.68,ATIVOS,AUGUST,2023
"TEC DE MANUTENCAO, PROJETOS E",C.P.TRENS METROPOLITANOS-CPTM,13254.94,0.0,71.2,"0,00",0.0,0.0,9611.28,ATIVOS,MAY,2023
TEC SISTEMA OPER I,FUND.PE.ANCHIETA-C.P.RADIO TV.,7265.12,0.0,0.0,"0,00",0.0,0.0,5099.5,ATIVOS,AUGUST,2023
OFICIAL ADMINISTRATIVO,DEPT.ESTAD.TRANSITO DETRAN SP,2567.83,0.0,0.0,"0,00",162.73,0.0,2331.41,ATIVOS,MARCH,2023
TECNICO DE ENFERMAGEM,HOSP.CLIN.FAC.MED.USP-HCFMUSP,3583.95,0.0,0.0,"0,00",0.0,0.0,3141.3,ATIVOS,FEBRUARY,2023
DOCENTE,FACULDADE MED. MARILIA FAMEMA,18317.85,0.0,0.0,"0,00",0.0,0.0,13504.61,ATIVOS,AUGUST,2023
SECRETARIA (O)  DE DIRETORIA,FUND.PF.DR.M.P.PIMENTEL-FUNAP,3239.77,0.0,0.0,"0,00",743.4,0.0,3332.0,ATIVOS,JUNE,2023
DIRETOR TECNICO II,DEPT.ESTAD.TRANSITO DETRAN SP,7044.47,0.0,0.0,"0,00",0.0,0.0,1683.15,ATIVOS,MARCH,2023
ANALISTA ADMINISTRATIVO,FUND. AMP. PESQ. EST.SP FAPESP,19416.05,0.0,0.0,"0,00",0.0,0.0,9456.86,ATIVOS,MARCH,2023
PROF ENSINO FUNDAMENTAL/MEDIO,SECRETARIA DA EDUCACAO,4150.0,10.42,0.74,"0,00",67.8,0.0,3599.38,ATIVOS,MARCH,2023
ESPECIALISTA EM PROTE  O E DEF,FUNDACAO PROCON,6206.27,0.0,0.0,"0,00",0.0,0.0,2980.23,ATIVOS,JUNE,2023
ENCARREGADO II,DEPTO.AGUAS ENER.ELETRICA DAEE,5123.37,0.0,0.0,"0,00",0.0,0.0,2760.67,ATIVOS,FEBRUARY,2023
ANALISTA PROJETOS PL,FUND.SIST.EST.ANAL.DADOS SEADE,11455.14,0.0,1452.42,"0,00",0.0,0.0,9076.08,ATIVOS,AUGUST,2023
AUXILIAR DE ENFERMAGEM,SECRETARIA DA SAUDE,3639.05,0.0,0.0,"0,00",258.72,0.0,2196.06,ATIVOS,FEBRUARY,2023
AGENTE DE GESTAO OPERACIONAL,EMP.METR.TR.URB.SP.S/A-EMTU-SP,1643.51,5777.63,0.0,"0,00",0.0,0.0,1257.98,ATIVOS,MARCH,2023
CHEFE I,PROCURADORIA GERAL DO ESTADO,3297.68,0.0,0.0,"0,00",206.93,0.0,2698.28,ATIVOS,APRIL,2023
SD 1C PM,POLICIA MILITAR SAO PAULO,5305.87,0.0,0.0,"0,00",890.76,0.0,5140.69,ATIVOS,AUGUST,2023
ASSISTENTE TECNICO - LP,INST.PESQ.TECNOLOGICAS EST.S.P,7686.81,0.0,0.0,"0,00",0.0,0.0,3927.47,ATIVOS,FEBRUARY,2023
OFICIAL ADMINISTRATIVO,PROCURADORIA GERAL DO ESTADO,5385.82,0.0,375.66,"0,00",696.43,0.0,3589.81,ATIVOS,JULY,2023
TECNICO EM METROLOGIA E QUALID,INST.PESOS MEDID.E.S.P-IPEM/SP,7323.81,0.0,0.0,"0,00",0.0,0.0,5320.1,ATIVOS,JUNE,2023
TEC AMB II,CETESB-CIA.AMBIENTAL EST.S.P.,19123.86,0.0,0.0,"0,00",0.0,0.0,11884.84,ATIVOS,FEBRUARY,2023
CHEFE I,DEPTO.AGUAS ENER.ELETRICA DAEE,3254.37,0.0,0.0,"0,00",0.0,0.0,2846.1,ATIVOS,APRIL,2023
TECNICO ESPECIALIZADO III,INST.PESQ.TEC.EST.SP IPT,7786.9,6380.44,0.0,"0,00",0.0,0.0,3500.4,ATIVOS,AUGUST,2023
OPERADOR DE SISTEMA HIDRO,EMAE EMP.MET.AGUAS ENERGIA S/A,14157.73,0.0,0.0,"0,00",0.0,0.0,5988.92,ATIVOS,MARCH,2023
SECRETARIA PL,FUND.SIST.EST.ANAL.DADOS SEADE,3568.1,2506.79,601.88,"0,00",0.0,0.0,2813.23,ATIVOS,JANUARY,2023
ASSESSOR CHEFE - REF C9,INST.PESOS MEDID.E.S.P-IPEM/SP,11885.65,0.0,0.0,"0,00",0.0,0.0,8918.4,ATIVOS,MAY,2023
TECNICO DE ENFERMAGEM,H.C.FAC.MED.BOTUCATU-HCFMB,6015.93,0.0,0.0,"0,00",0.0,0.0,3495.24,ATIVOS,MARCH,2023
ADVOGADO,FUND.PF.DR.M.P.PIMENTEL-FUNAP,5310.45,0.0,0.0,"0,00",0.0,0.0,4075.84,ATIVOS,AUGUST,2023
ASSIST.REGULACAO DE TRANSPORTE,AG.REG.SERV.PUB.DEL.TR.EST.SP,8855.83,0.0,0.0,"0,00",0.0,0.0,6653.86,ATIVOS,APRIL,2023
ENFERMEIRO,H.C.FAC.MED.BOTUCATU-HCFMB,2567.43,0.0,0.0,"0,00",0.0,0.0,2517.68,ATIVOS,MARCH,2023
ASSESSOR DE APOIO FAZEND. II,SECRET. FAZENDA PLANEJAMENTO,6227.75,2075.91,0.0,"0,00",0.0,0.0,5023.78,ATIVOS,JANUARY,2023
AUXILIAR SERV.GERAIS,DEPARTAM.ESTRADAS RODAGEM DER,2699.1,0.0,0.0,"0,00",0.0,0.0,2443.52,ATIVOS,JANUARY,2023
AUXILIAR SERV.GERAIS,SECR.AGRICULTURA ABASTECIMENTO,3126.11,0.0,0.0,"0,00",134.73,0.0,2709.32,ATIVOS,MARCH,2023
COMPRADOR,INST.PESQ.TECNOLOGICAS EST.S.P,7862.65,0.0,0.0,"0,00",0.0,0.0,4152.72,ATIVOS,JANUARY,2023
PROF.ADJUNTO I-M,FAC.MED.S.J.R.PRETO-FAMERP,22802.89,0.0,0.0,"0,00",0.0,0.0,16765.47,ATIVOS,JANUARY,2023
ENGENHEIRO ESP  CIVIL,COMP.METROPOLITANO S.P.-METRO,26976.82,0.0,0.0,"0,00",0.0,0.0,16432.75,ATIVOS,AUGUST,2023
DIRETOR TECNICO I,DEPTO.AGUAS ENER.ELETRICA DAEE,8470.77,0.0,0.0,"0,00",0.0,0.0,5502.12,ATIVOS,JANUARY,2023
ESPECIALISTA EM PROTE  O E DEF,FUNDACAO PROCON,8408.2,0.0,0.0,"0,00",0.0,0.0,6315.62,ATIVOS,JUNE,2023
ANALISTA NEGOCIOS E TECNOLOGIA,CIA.PROCES.DAD.EST.SP PRODESP,17460.36,40211.87,0.0,"0,00",0.0,0.0,8487.85,ATIVOS,JUNE,2023
OFICIAL ADMINISTRATIVO,SECRETARIA GESTAO GOVERNO DIG.,8151.43,5377.76,-773.76,"8151,42",1442.33,0.0,19141.3,ATIVOS,AUGUST,2023
GERENTE ADJUNTO,FUND. AMP. PESQ. EST.SP FAPESP,24867.87,8287.96,0.0,"0,00",0.0,0.0,16824.08,ATIVOS,MARCH,2023
ASSESSOR TEC. FAZ ESTADUAL II,SECRETARIA ORCAMENTO E GESTAO,7196.66,0.0,0.0,"0,00",0.0,0.0,4801.68,ATIVOS,JANUARY,2023
TECNICO DE ENFERMAGEM,FUND.PRO-SANGUE-HEMOCENTRO S.P,4596.24,0.0,0.0,"0,00",0.0,0.0,3437.8,ATIVOS,MAY,2023
TECNICO EM METROLOGIA E QUALID,INST.PESOS MEDID.E.S.P-IPEM/SP,3819.67,0.0,0.0,"0,00",0.0,0.0,2108.23,ATIVOS,MARCH,2023
PROF ENSINO FUNDAMENTAL/MEDIO,SECRETARIA DA EDUCACAO,0.0,0.0,267.08,"0,00",0.0,0.0,247.05,ATIVOS,JUNE,2023
AUXILIAR SERV.GERAIS,INST.AS.MED.SER.PUB.EST IAMSPE,3925.16,0.0,0.0,"0,00",0.0,0.0,1324.41,ATIVOS,MAY,2023
AGENTE DE RECURSOS AMBIENTAIS,FUND.CONS.PR.FLOR.EST.SP F.FL.,5993.16,0.0,0.0,"0,00",599.32,0.0,5081.4,ATIVOS,MARCH,2023
ASSISTENTE AGROPECUARIO II,SECR.AGRICULTURA ABASTECIMENTO,8335.38,0.0,0.0,"0,00",0.0,0.0,3558.63,ATIVOS,AUGUST,2023
ESPECIALISTA I,CIA.DES.HAB.URB.EST.S.P.-CDHU,16149.9,0.0,0.0,"0,00",0.0,0.0,10601.78,ATIVOS,AUGUST,2023
DIRETOR TECNICO II,INST MED SOC CRIMINO SP- IMESC,5758.71,0.0,0.0,"0,00",0.0,0.0,4413.19,ATIVOS,APRIL,2023
ANAL REC AMB (AN AM),FUND.CONS.PR.FLOR.EST.SP F.FL.,12033.35,0.0,0.0,"0,00",0.0,0.0,8671.66,ATIVOS,AUGUST,2023
DIRETOR ADJUNTO,FUND.CONS.PR.FLOR.EST.SP F.FL.,12938.74,0.0,0.0,"0,00",646.94,0.0,9556.96,ATIVOS,APRIL,2023
TECNICO I,FUNDACAO DESENV.EDUCACAO-FDE,7504.02,14293.37,736.22,"0,00",0.0,0.0,15906.16,ATIVOS,JANUARY,2023
OFICIAL ADMINISTRATIVO,DEPTO. EST. TRANSITO DETRAN SP,2669.36,0.0,0.0,"0,00",33.43,0.0,1471.82,ATIVOS,FEBRUARY,2023
MOTORISTA,"FUND.REM.POP.""C.T.LIMA""-FURP",4779.89,0.0,0.0,"0,00",0.0,0.0,3942.82,ATIVOS,MAY,2023
AG.SEG.PENIT.CLASSE IV,SECRET.ADMINISTR.PENITENCIARIA,5765.39,0.0,0.0,"0,00",0.0,0.0,2239.08,ATIVOS,JULY,2023
OP TRAN METROV II  TRAFEGO,COMP.METROPOLITANO S.P.-METRO,9872.33,0.0,1861.07,"0,00",0.0,0.0,8250.31,ATIVOS,JUNE,2023
AG DE SERVICOS DE OPERACAO,C.P.TRENS METROPOLITANOS-CPTM,5944.4,0.0,405.55,"0,00",1534.02,0.0,5512.67,ATIVOS,MAY,2023
ANALISTA DE SERVICO ACADEMICO,FAC.MED.S.J.RIO PRETO FAMERP,3715.11,0.0,0.0,"0,00",0.0,0.0,3215.88,ATIVOS,MARCH,2023
ANALISTA DE GESTAO,EMP.METR.TR.URB.SP.S/A-EMTU-SP,24293.08,0.0,0.0,"0,00",0.0,0.0,17657.06,ATIVOS,JANUARY,2023
AUXILIAR SERV.GERAIS,SECRETARIA DESENVOLV. SOCIAL,2261.31,0.0,0.0,"0,00",509.68,0.0,2435.63,ATIVOS,JUNE,2023
LIDER TRAFEGO,DERSA DESENVOLVIM.RODOV.S.A.,9212.13,0.0,0.0,"0,00",0.0,0.0,6739.65,ATIVOS,MAY,2023
PROFESSOR DE ENSINO MED E TEC,C.E.ED.TEC.PAULA SOUZA-CEETEPS,884.07,0.0,0.0,"0,00",0.0,0.0,726.04,ATIVOS,FEBRUARY,2023
OFICIAL ADMINISTRATIVO,DEPTO. EST. TRANSITO DETRAN SP,2571.02,1285.5,0.0,"0,00",303.33,0.0,3575.93,ATIVOS,FEBRUARY,2023
AUXILIAR SERV.GERAIS,DEPARTAM.ESTRADAS RODAGEM DER,4117.16,0.0,0.0,"0,00",604.03,0.0,2506.47,ATIVOS,FEBRUARY,2023
ASSESSOR TECNICO IV,HOSP.CLIN.FAC.MED.MARILIA,5770.41,0.0,-431.48,"0,00",46.19,0.0,4349.83,ATIVOS,APRIL,2023
APC,FUND.PREV.COMPL.EST.SP PREVCOM,2946.14,0.0,0.0,"0,00",0.0,0.0,2477.19,ATIVOS,JANUARY,2023
NAO SERVIDOR,DEPTO. EST. TRANSITO DETRAN SP,563.55,0.0,0.0,"0,00",0.0,0.0,501.56,ATIVOS,JANUARY,2023
TEC. EM DESENV. AGRARIO R1,FITESP-JOSE GOMES DA SILVA,3094.21,212.91,0.0,"0,00",1064.52,0.0,2716.71,ATIVOS,JANUARY,2023
ARQUITETO IV,SECR.CULTURA ECONOMIA CRIATIVA,7311.71,0.0,0.0,"0,00",0.0,0.0,5322.73,ATIVOS,JUNE,2023
AUXILIAR SERV.GERAIS,CASA CIVIL,10172.26,1695.37,2787.71,"0,00",0.0,0.0,10188.84,ATIVOS,AUGUST,2023
MEDIADOR DE ENSINO PRESENCIAL,FUND.UNIV.VIRT.EST.SP UNIVESP,2700.0,0.0,0.0,"0,00",0.0,0.0,2472.95,ATIVOS,MAY,2023
TECNICO DE ENFERMAGEM,H.C.FAC.MED.BOTUCATU-HCFMB,6023.13,0.0,0.0,"0,00",0.0,0.0,4835.04,ATIVOS,MAY,2023
EXECUTIVO PUBLICO,SECRETARIA DE ESPORTES,5315.73,0.0,0.0,"0,00",52.75,0.0,3847.89,ATIVOS,AUGUST,2023
OFICIAL ADMINISTRATIVO,CAIXA BENEFIC.POLICIA MILITAR,4904.25,0.0,0.0,"0,00",0.0,0.0,3089.23,ATIVOS,FEBRUARY,2023
OUTROS VINCULOS,SECRET.ADMINISTR.PENITENCIARIA,274.08,0.0,0.0,"0,00",0.0,0.0,219.89,ATIVOS,APRIL,2023
OFICIAL ADMINISTRATIVO,INST MED SOC CRIMINO SP- IMESC,2488.57,0.0,283.67,"0,00",204.64,0.0,2576.72,ATIVOS,JULY,2023
PROF ENSINO FUNDAMENTAL/MEDIO,SECRETARIA DA EDUCACAO,7000.0,2333.33,0.0,"0,00",0.0,0.0,7657.48,ATIVOS,JUNE,2023
AG.APOIO PESQ.CIENT.TECNOL.,SEC.MEIO AMB. INFRA.LOGIST.,4285.29,0.0,0.0,"0,00",512.47,0.0,2833.62,ATIVOS,MARCH,2023
AUXILIAR SERV.GERAIS,CASA CIVIL,4852.56,0.0,0.0,"0,00",0.0,0.0,2297.98,ATIVOS,JUNE,2023
ANAL.PLAN.ORC.FINANC.PUBL. II,CONTROLADORIA GERAL DO ESTADO,15411.88,0.0,0.0,"0,00",0.0,0.0,10449.61,ATIVOS,FEBRUARY,2023
TECNICO EM METROLOGIA E QUALID,INST.PESOS MEDID.E.S.P-IPEM/SP,6838.38,0.0,0.0,"0,00",0.0,0.0,4542.03,ATIVOS,AUGUST,2023
DIRETOR TECNICO I,SECR.DESENVOLVIMENTO ECONOMICO,4587.01,0.0,0.0,"0,00",39.77,0.0,3583.67,ATIVOS,FEBRUARY,2023
OFICIAL ADMINISTRATIVO,SECRETARIA SEGURANCA PUBLICA,5051.95,841.99,0.0,"0,00",174.27,0.0,4592.36,ATIVOS,JUNE,2023
SUPERINTENDENTE,DESENVOLVE SP AG.FOM.E.S.PAULO,31885.58,0.0,1813.81,"0,00",636.8,0.0,25680.45,ATIVOS,FEBRUARY,2023
"TEC DE MANUTENCAO, PROJETOS E",C.P.TRENS METROPOLITANOS-CPTM,7181.1,0.0,0.0,"0,00",0.0,0.0,5226.33,ATIVOS,AUGUST,2023
ESPEC.REGUL.FIS.SERV.PUB. I,AG.REG.SERV.PUB.EST.SP ARSESP,12884.3,8103.33,0.0,"0,00",8103.32,0.0,23213.31,ATIVOS,JULY,2023
ASSESSOR TECNICO ESPECIAL,FUNDACAO DESENV.EDUCACAO-FDE,13116.46,0.0,0.0,"0,00",0.0,0.0,9612.34,ATIVOS,JUNE,2023
ASSESSOR II,FUND.AMPARO PESQ.EST.SP-FAPESP,20173.16,0.0,0.0,"0,00",0.0,0.0,14858.92,ATIVOS,FEBRUARY,2023
MEDIADOR DE ENSINO PRESENCIAL,FUND.UNIV.VIRT.EST.SP UNIVESP,2700.0,0.0,0.0,"0,00",0.0,0.0,2445.88,ATIVOS,JULY,2023
ENCARREGADO I,DEPARTAM.ESTRADAS RODAGEM DER,2972.3,0.0,53.12,"0,00",0.0,0.0,2523.82,ATIVOS,FEBRUARY,2023
TECNICO ESPECIALIZADO III,INST.PESQ.TECNOLOGICAS EST.S.P,6603.89,0.0,0.0,"0,00",0.0,0.0,3470.52,ATIVOS,FEBRUARY,2023
DIRETOR II,SECRETARIA JUSTICA E CIDADANIA,4481.02,0.0,0.0,"0,00",135.93,0.0,3773.16,ATIVOS,APRIL,2023
AUXILIAR DE APOIO AGROPECUARIO,SECR.AGRICULTURA ABASTECIMENTO,3009.45,0.0,230.0,"0,00",524.15,0.0,2190.36,ATIVOS,JULY,2023
PROFESSOR DE ENSINO MED E TEC,"CTRO.EST.ED.TEC.""P.SO"" CEETEPS",7630.18,0.0,0.0,"0,00",0.0,0.0,3893.81,ATIVOS,JULY,2023
EXECUTIVO PUBLICO,CONTROLADORIA GERAL DO ESTADO,12799.86,2133.3,0.0,"0,00",0.0,0.0,7858.06,ATIVOS,JUNE,2023
EXECUTIVO PUBLICO,SECRETARIA GESTAO GOVERNO DIG.,7027.6,0.0,0.0,"0,00",0.0,0.0,5189.67,ATIVOS,MAY,2023
AGENTE ESTADUAL DE TRANSITO I,DEPT.ESTAD.TRANSITO DETRAN SP,5379.41,0.0,0.0,"0,00",0.0,0.0,3462.83,ATIVOS,MARCH,2023
AUX.APOIO PESQ.CIENT.TECNOL.,SECR.AGRICULTURA ABASTECIMENTO,2898.08,1932.04,0.0,"0,00",763.56,0.0,3378.57,ATIVOS,JUNE,2023
TECNICO DA FAZENDA ESTADUAL,SECRET. FAZENDA PLANEJAMENTO,8217.79,0.0,0.0,"623,29",932.15,0.0,5266.12,ATIVOS,FEBRUARY,2023
ASSESSOR II,FUND.AMPARO PESQ.EST.SP-FAPESP,16570.81,360.24,0.0,"0,00",3906.0,0.0,15961.02,ATIVOS,JANUARY,2023
DOCENTE,FACULDADE MED. MARILIA FAMEMA,15636.96,0.0,0.0,"0,00",0.0,0.0,10844.04,ATIVOS,APRIL,2023
TECNICO DE PROTE  O E DEFESA D,FUNDACAO PROCON,5011.56,0.0,0.0,"0,00",0.0,0.0,4095.96,ATIVOS,AUGUST,2023
PROF ENSINO FUNDAMENTAL/MEDIO,SECRETARIA DA EDUCACAO,4000.0,0.0,400.0,"0,00",43.2,0.0,3736.91,ATIVOS,MARCH,2023
ASSESSOR I,CASA CIVIL,3363.07,0.0,0.0,"0,00",0.0,0.0,2950.66,ATIVOS,APRIL,2023
PESQUISADOR II,INST.PESQ.TECNOLOGICAS EST.S.P,16672.55,14695.37,0.0,"0,00",0.0,0.0,4617.37,ATIVOS,FEBRUARY,2023
OFICIAL ADMINISTRATIVO,SECRETARIA DE GOVERNO,1351.89,0.0,0.0,"0,00",94.88,0.0,1250.26,ATIVOS,JANUARY,2023
BIOLOGISTA,FUND.PRO-SANGUE-HEMOCENTRO S.P,7691.95,0.0,0.0,"0,00",0.0,0.0,5221.42,ATIVOS,MARCH,2023
TECNICO EM METROLOGIA E QUALID,INST.PESOS MEDID.E.S.P-IPEM/SP,5154.67,0.0,0.0,"0,00",0.0,0.0,3940.33,ATIVOS,APRIL,2023
ANALISTA ADMINISTRATIVO,FUND. AMP. PESQ. EST.SP FAPESP,9203.28,0.0,0.0,"0,00",0.0,0.0,6052.7,ATIVOS,MARCH,2023
CHEFE I,SECRETARIA DA SAUDE,2311.7,0.0,0.0,"0,00",59.82,0.0,1589.87,ATIVOS,MARCH,2023
DIRETOR TECNICO III,DEPART.ESTRADAS RODAGEM DER,10532.48,0.0,0.0,"0,00",0.0,0.0,7051.01,ATIVOS,JUNE,2023
EXECUTIVO PUBLICO,SECR.CULTURA ECONOMIA CRIATIVA,8088.67,0.0,0.0,"0,00",0.0,0.0,3921.06,ATIVOS,MAY,2023
ASSESSOR TECNICO ESPECIAL,FUNDACAO DESENV.EDUCACAO-FDE,13247.62,0.0,0.0,"0,00",0.0,0.0,9657.99,ATIVOS,FEBRUARY,2023
OPERADOR PROD ESPECIALIZADO,"FUND.REM.POP.""C.T.LIMA""-FURP",2267.65,10266.64,0.0,"0,00",0.0,0.0,7135.21,ATIVOS,MARCH,2023
ASSESSOR TECNICO I,CASA CIVIL,5238.79,0.0,0.0,"0,00",17.6,0.0,4012.59,ATIVOS,MARCH,2023
SECRETARIO EXECUTIVO,SECR.CULTURA ECONOMIA CRIATIVA,17763.05,0.0,0.0,"0,00",0.0,0.0,12772.11,ATIVOS,AUGUST,2023
ANALISTA NEGOCIOS E TECNOLOGIA,CIA.PROCES.DAD.EST.SP PRODESP,8082.13,0.0,0.0,"0,00",0.0,0.0,5405.22,ATIVOS,AUGUST,2023
ANAL.PLAN.ORC.FINANC.PUBL. I,CONTROLADORIA GERAL DO ESTADO,14721.83,0.0,0.0,"0,00",0.0,0.0,6535.43,ATIVOS,JUNE,2023
AGENTE DE ORGANIZACAO ESCOLAR,SECRETARIA DA EDUCACAO,3608.79,0.0,0.0,"0,00",119.77,0.0,2429.38,ATIVOS,JULY,2023
ASSESSOR DE GABINETE I,SECR.CULTURA ECONOMIA CRIATIVA,1953.07,0.0,0.0,"0,00",199.61,0.0,1957.64,ATIVOS,JULY,2023
AUXILIAR DE SERVICOS GERAIS,FUND.MEMORIAL AMERICA LATINA,3561.69,0.0,0.0,"0,00",0.0,0.0,3052.87,ATIVOS,AUGUST,2023
AGENTE DE GESTAO OPERACIONAL,EMP.METR.TR.URB.SP.S/A-EMTU-SP,2865.23,5607.63,0.0,"0,00",0.0,0.0,1681.94,ATIVOS,JULY,2023
PROF ENSINO FUNDAMENTAL/MEDIO,SECRETARIA DA EDUCACAO,742.0,0.0,0.0,"0,00",26.28,0.0,686.66,ATIVOS,AUGUST,2023
AN DES GESTAO JR  ADM,COMP.METROPOLITANO S.P.-METRO,6788.0,0.0,0.0,"0,00",0.0,0.0,5015.77,ATIVOS,JUNE,2023
PROF.ADJUNTO IV-D,FAC.MED.S.J.RIO PRETO FAMERP,30233.65,0.0,0.0,"0,00",0.0,0.0,22168.57,ATIVOS,MAY,2023
SUPERINTENDENTE DE AREA,AG.REG.SERV.PUB.EST.SP ARSESP,18297.42,0.0,0.0,"0,00",0.0,0.0,12866.86,ATIVOS,FEBRUARY,2023
SUPERVISOR,DEPTO. EST. TRANSITO DETRAN SP,2459.16,0.0,0.0,"0,00",0.0,0.0,2029.61,ATIVOS,JANUARY,2023
ANALISTA LABORAT JR,"FUND.REM.POP.""C.T.LIMA""-FURP",4736.74,0.0,0.0,"0,00",0.0,0.0,3839.52,ATIVOS,JUNE,2023
TECNICO EM METROLOGIA E QUALID,INST.PESOS MEDID.E.S.P-IPEM/SP,3906.03,0.0,0.0,"0,00",648.82,0.0,3900.63,ATIVOS,FEBRUARY,2023
ANALISTA ADMINISTRATIVO,FUND. AMP. PESQ. EST.SP FAPESP,9819.9,0.0,0.0,"0,00",0.0,0.0,6848.77,ATIVOS,JULY,2023
AUXILIAR SERV.GERAIS,SECRETARIA DE GOVERNO,7146.36,0.0,7146.36,"0,00",1833.1,0.0,9690.49,ATIVOS,JANUARY,2023
