POSITION,DEPARTMENT,MONTH_TOTAL,VACATION_13TH_SALARY,EVENTUAL PAYMENTS,PAYED_PREMIUM_LEAVE,OTHER_INDEMNITIES,WAGE_REDUCER,NET_TOTAL,STATUS,MONTH,YEAR
AG.SEG.PENIT.CLASSE II,SECRET.ADMINISTR.PENITENCIARIA,4772.45,795.4,0.0,"0,00",0.0,0.0,3404.76,ATIVOS,JANUARY,2023
AUDITOR FISCAL DA RECEITA EST,SECRET. FAZENDA PLANEJAMENTO,30949.47,0.0,28777.65,"0,00",10278.0,-9148.98,44326.91,ATIVOS,JULY,2023
ANALISTA DE GESTAO,EMP.METR.TR.URB.SP.S/A-EMTU-SP,9963.42,0.0,0.0,"0,00",0.0,0.0,3014.56,ATIVOS,APRIL,2023
SECRETARIA PLENO,FAC.MEDICINA MARILIA-FAMEMA,4451.45,0.0,0.0,"0,00",0.0,0.0,3780.39,ATIVOS,FEBRUARY,2023
OFICIAL ADMINISTRATIVO,DEPTO. EST. TRANSITO DETRAN SP,2716.95,1811.29,0.0,"0,00",206.58,0.0,3681.03,ATIVOS,FEBRUARY,2023
ASSESSOR III,FUND.PREV.COMPL.EST.SP PREVCOM,20026.64,0.0,0.0,"0,00",0.0,0.0,9781.48,ATIVOS,FEBRUARY,2023
ESPEC.REGULACAO DE TRANSP. I,AG.REG.SERV.PUB.DEL.TR.EST.SP,9870.8,0.0,0.0,"0,00",0.0,0.0,6062.72,ATIVOS,APRIL,2023
RECEPCIONISTA,FAC.MEDICINA MARILIA-FAMEMA,2098.06,0.0,0.0,"0,00",0.0,0.0,1876.77,ATIVOS,JANUARY,2023
OPERADOR FERROVIARIO,SEC.TRANSPORTES METROPOLITANOS,2652.86,3.46,0.0,"0,00",0.0,0.0,669.56,ATIVOS,FEBRUARY,2023
ASSESSOR TECNICO I,SECRET.GOVERNO RELAC.INSTITUC.,2817.37,469.56,0.0,"0,00",235.75,0.0,3048.97,ATIVOS,APRIL,2023
ANALISTA NEGOCIOS E TECNOLOGIA,CIA.PROCES.DAD.EST.SP PRODESP,6443.67,0.0,0.0,"0,00",667.92,0.0,4728.75,ATIVOS,MARCH,2023
MECANICO DE MANUT DE USINAS II,EMAE EMP.MET.AGUAS ENERGIA S/A,4484.07,2823.31,0.0,"0,00",0.0,0.0,159.26,ATIVOS,MARCH,2023
AGENTE DE AP SOCIOEDUCAT I,FUNDACAO CASA-SP.,6734.85,0.0,0.0,"0,00",0.0,0.0,3813.04,ATIVOS,MARCH,2023
ANALISTA EM GESTAO PREVID. II,SAO PAULO PREVIDENCIA   SPPREV,9197.29,0.0,0.0,"0,00",0.0,0.0,6373.37,ATIVOS,JUNE,2023
ENCARREGADO I,DEPART.ESTRADAS RODAGEM DER,2739.26,0.0,0.0,"0,00",0.0,0.0,2298.12,ATIVOS,MAY,2023
ANALISTA PROJETOS PL,FUND.SIST.EST.ANAL.DADOS SEADE,7270.81,0.0,817.92,"0,00",0.0,0.0,5386.71,ATIVOS,APRIL,2023
OFICIAL OPERACIONAL,HOSP.CLIN.FAC.MED.USP-HCFMUSP,2446.29,0.0,0.0,"0,00",0.0,0.0,1471.42,ATIVOS,APRIL,2023
OPERADOR FERROVIARIO,SEC.TRANSPORTES METROPOLITANOS,2482.09,0.0,0.0,"0,00",0.0,0.0,1480.49,ATIVOS,MARCH,2023
AUXILIAR FERROVIARIO,SEC.TRANSPORTES METROPOLITANOS,2859.54,0.0,0.0,"0,00",0.0,0.0,2438.52,ATIVOS,MARCH,2023
TEC. EM INFORMATICA II A,FITESP-JOSE GOMES DA SILVA,4159.24,0.0,0.0,"0,00",0.0,0.0,3528.12,ATIVOS,MAY,2023
COMPRADOR SR,"FUND.REM.POP.""C.T.LIMA""-FURP",4631.57,14874.2,0.0,"0,00",0.0,0.0,14793.08,ATIVOS,JULY,2023
ANALISTA EM GESTAO PREVID. I,SAO PAULO PREVIDENCIA   SPPREV,11073.2,0.0,0.0,"0,00",0.0,0.0,8067.56,ATIVOS,APRIL,2023
DESINSETIZADOR,SECRETARIA DA SAUDE,4005.24,0.0,0.0,"0,00",0.0,0.0,3446.16,ATIVOS,JULY,2023
TECNICO DE PROTE  O E DEFESA D,FUNDACAO PROCON,5402.56,0.0,0.0,"0,00",0.0,0.0,2872.37,ATIVOS,AUGUST,2023
TECNICO ADMINISTRATIVO- FUNDAP,SECRETARIA GESTAO GOVERNO DIG.,3763.21,0.0,-19.18,"0,00",0.0,0.0,2903.78,ATIVOS,JUNE,2023
ASSES TEC IV(A EX),CETESB-CIA.AMBIENTAL EST.S.P.,26139.3,8995.98,0.0,"0,00",0.0,0.0,19399.33,ATIVOS,AUGUST,2023
ANALISTA GAR QUALIDADE SR AB,"FUND.REM.POP.""C.T.LIMA""-FURP",7320.78,0.0,0.0,"0,00",0.0,0.0,5423.42,ATIVOS,JANUARY,2023
TECNICO AP GEST OPERACAO  30H,CIA.PROC.DADOS EST.S.P-PRODESP,4040.63,0.0,0.0,"0,00",52.18,0.0,2909.37,ATIVOS,FEBRUARY,2023
ASSESSOR TECNICO II,SECRET.GOVERNO RELAC.INSTITUC.,4791.77,2395.88,0.0,"0,00",99.69,0.0,5846.62,ATIVOS,JUNE,2023
TECNICO ESPECIALIZADO III,INST.PESQ.TEC.EST.SP IPT,7786.9,0.0,0.0,"0,00",0.0,0.0,3322.57,ATIVOS,APRIL,2023
FONOAUDIOLOGO,FAC.MED.S.J.RIO PRETO FAMERP,4819.55,0.0,0.0,"0,00",0.0,0.0,3998.89,ATIVOS,JUNE,2023
ANALISTA ADMINISTRATIVO,FUND. AMP. PESQ. EST.SP FAPESP,14924.88,0.0,0.0,"0,00",0.0,0.0,10180.28,ATIVOS,APRIL,2023
ASSESSOR TECN DA VICE-PRESID.,JUNTA COMERC.E.S.PAULO-JUCESP,7313.99,0.0,0.0,"0,00",0.0,0.0,5425.19,ATIVOS,AUGUST,2023
OFICIAL DE APOIO METROLOGIA E,INST.PESOS MEDID.E.S.P-IPEM/SP,8231.08,0.0,0.0,"0,00",0.0,0.0,5776.05,ATIVOS,JUNE,2023
TECNICO ESPECIALIZADO III,INST.PESQ.TEC.EST.SP IPT,7000.14,0.0,178.06,"0,00",0.0,0.0,2729.32,ATIVOS,JUNE,2023
AUXILIAR DE FARMACIA,"FUND.REM.POP.""C.T.LIMA""-FURP",2327.87,0.0,0.0,"0,00",0.0,0.0,1421.13,ATIVOS,MAY,2023
PROCURADOR DO ESTADO NIVEL I,PROCURADORIA GERAL DO ESTADO,32235.62,0.0,0.0,"0,00",0.0,0.0,22120.71,ATIVOS,APRIL,2023
ASSESSOR TECNICO II,DEPARTAM.ESTRADAS RODAGEM DER,3665.98,610.99,0.0,"0,00",167.24,0.0,2622.12,ATIVOS,JANUARY,2023
CHEFE I,DEPTO.AGUAS ENER.ELETRICA DAEE,3284.38,0.0,0.0,"0,00",0.0,0.0,2948.37,ATIVOS,FEBRUARY,2023
ESPECIALISTA II,CIA.DES.HAB.URB.EST.S.P.-CDHU,15305.17,0.0,0.0,"0,00",0.0,0.0,10116.83,ATIVOS,JULY,2023
MEDICO I,HOSP.CLIN.FAC.MED.USP-HCFMUSP,8092.24,0.0,0.0,"0,00",0.0,0.0,6068.46,ATIVOS,MARCH,2023
TEC. EM DESENV.AGRARIO VI C,FITESP-JOSE GOMES DA SILVA,4320.47,0.0,0.0,"0,00",0.0,0.0,3184.33,ATIVOS,MAY,2023
ASSESSOR TEC. DE GABINETE IV,SECR.CULTURA ECONOMIA CRIATIVA,13058.68,0.0,0.0,"0,00",0.0,0.0,9455.53,ATIVOS,AUGUST,2023
AG.SEG.PENIT.CLASSE V,SECRET.ADMINISTR.PENITENCIARIA,8749.99,0.0,0.0,"0,00",0.0,0.0,4025.21,ATIVOS,JUNE,2023
OFICIAL ADMINISTRATIVO,SECR.DESENVOLVIMENTO ECONOMICO,2507.51,0.0,0.0,"0,00",287.88,0.0,2252.04,ATIVOS,FEBRUARY,2023
